"title","price","priceAfterDiscount","sold","store","shopBadge"
"GES Smart Video Doorbell Wireless Tuya Stream GoogleNest and EchoShow - Putih","Rp1.000.000","Rp1.000.000","50+ terjual","N/A","N/A"
"Smart Bluetooth Fingerbot Switch Bot Button Pusher Robot Tuya - FingetBot","Rp700.000","Rp700.000","60+ terjual","N/A","N/A"
"GES Smart WiFi Wall Light Touch Switch No Neutral Wire 1 Gang Tuya - Hitam","Rp170.000","Rp131.000","500+ terjual","N/A","N/A"
"AMC Tuya Smart Switch EU Saklar Lampu Rumah Pintar Wi-Fi Tombol Tekan","Rp120.000","Rp120.000","4rb+ terjual","amc_shop","Power Shop"
"AMC Tuya Smart Touch Wall Switch EU Saklar Lampu Rumah Pintar Wi-Fi","Rp120.000","Rp120.000","250+ terjual","amc_shop","Power Shop"
"ALCIE SMART WIFI LIGHT BULB SOCKET LAMP HOLDER E27 TUYA Fitting lampu Pintar - 1 unit","Rp130.000","Rp130.000","15 terjual","NightSunshine","Power Shop"
"ihme Smart Bulb 12W RGB Lampu Led Pintar Wireless Wifi Smarthome Tuya","Rp103.880","Rp103.880","50+ terjual","Gamersky209","N/A"
"Tuya Smart Light LED Bulb RGB CCT Lampu Bohlam LED Putih Kuning Warna E27 Bluetooth Original - 10W","Rp39.000","Rp39.000","50+ terjual","Menawan-id","Power Shop"
"ARBIT Smart Home Bluetooth LED Bulb Bohlam Pintar RGB CCT 12W E27 Lampu Lamp Tuya","Rp199.000","Rp62.000","500+ terjual","ARBIT Smart Home","Mall"
"Smart WiFi E27 Socket Lamp Holder Tuya Light Bulbs Wi-Fi Adapter Mini Remote Control Smart Home Alexa Google Home IFTTT Alice SmartThings","Rp129.990","Rp129.990","250+ terjual","AinWare","Power Shop"
"TUYA Lampu Plafon Smart Lamp LED Ceiling RGBCW 240V 24W - XDD051","Rp195.200","Rp195.200","100+ terjual","BudgetGadget","Power Shop"
"SMATRUL Lampu Pintar Tuya Zigbee 10W Smart Light Bulb E27 RGB LED Lamp","Rp99.000","Rp99.000","100+ terjual","MOREmoreMORE","Power Shop"
"TaffLED Bohlam 10W RGB Smart Bulb Bluetooth Control E27 800 Lumens Tuya Led 800 Lumens Light Bulbs RGBWW CCT Wifi Bulb Color Changing Light Softbox Dimmable RGB Led Lamp 220V 110V Smart Life App Control A60 HAN RIVER RONG RIVER","Rp76.000","Rp45.600","21 terjual","Distributorgadget.com","Power Shop"
"AVATTO Tuya ZigBee Smart Dimmers Switch Module Mini 2 Way Control LED Lights Dimmable Switch","Rp180.000","Rp90.000","26 terjual","AVATTO Official Store","N/A"
"Smart LED WIFI + Bluetooth TUYA 9W / 12W RGB+WW Elektro Pintar","Rp72.000","Rp56.999","90+ terjual","VIOLET FISH SHOP","Power Shop"
"AVATTO Tuya WiFi Smart Ceiling Light LED Round Ceiling Light/Lampu Plafon Bulat 24W RGB","Rp230.000","Rp184.000","27 terjual","AVATTO Official Store","N/A"
"ihme Smart Bulb 9W LED RGB Lampu Pintar Wireless Wifi Smarthome Tuya","Rp94.080","Rp94.080","12 terjual","Gamersky209","N/A"
"AVATTO New Blade Series Tuya Smart Wifi Tombol Sakelar Dengan Kontrol Aplikasi Lampu Ambient Bekerja - 3gang","Rp280.000","Rp274.400","11 terjual","AVATTO Official Store","N/A"
"Tuya Smartlife Zigbee WiFi Smart Breaker Switch On Off Lamp Timer Automatic IOT","Rp150.000","Rp78.000","3 terjual","Asiamodem Store","Power Shop"
"Tuya WiFi Smart Light Bulbs Adapter E27 Lamp Holder Bluetooth Remote Control Smart Life Smart Home Alexa Google Home IFTTT  Alice","Rp134.000","Rp134.000","20 terjual","reva ramadani","Power Shop"
"ALCIE SMART WIFI LIGHT BULB SOCKET LAMP HOLDER E27 TUYA Fitting lampu Pintar","Rp130.000","Rp130.000","15 terjual","NightSunshine","Power Shop"
"Tuya Wifi + Bluetooth Smart Bulb Lamp RGBWW - Smart Home Life","Rp95.000","Rp95.000","2 terjual","Smart Home Life","N/A"
"Tuya Bluetooth Smart Bulb Lamp RGBWW - Smart Home Life","Rp50.000","Rp50.000","7 terjual","Smart Home Life","N/A"
"Tuya Smart LED Ceiling Lamp Light Lampu Plafon Minimalis 24W WIFI RGB","Rp213.000","Rp198.000","60+ terjual","The Smart Living ID","Power Shop"
"Terbaru, 18W 15W Zigbee 3.0 Led Light bulb RGB+WW+CW E27 Tuya Wifi Smart Home Led Lamp Compatible Wi","Rp284.500","Rp284.500","2 terjual","Butlerstore","N/A"
"Tuya Smart WiFi LED Light Bulbs 220V 15W E27 Alexa LED Lamp RGB Smart Life APP Google Assistant Voice Control","Rp89.999","Rp85.499","8 terjual","Mathitis Online","Power Shop"
"WiFi Tuya MR16 Smart LED Light Bulb AC/DC 12V GU5.3 Reflector Spoltlight 5W Equivalent RGBCW Lamp Smartlife Alexa Google Home","Rp320.000","Rp320.000","N/A","NIEGAHU 48 s","N/A"
"New Tuya Smart LED Track Light Embedded Masterless Lighting lamp","Rp1.576.600","Rp1.576.600","N/A","kakaka ros","N/A"
"ihme Smart Led Strip Dream Color Lampu Hias 5M Wireless Tuya Smartlife","Rp361.620","Rp361.620","6 terjual","Gamersky209","N/A"
"Saklar Sentuh Inbow Dinding Lampu Smart Switch TUYA Wireless WiFi Remote Tuya Alexa Touch Control","Rp168.000","Rp98.800","6 terjual","glotima","Power Shop"
"Smart LED Bluetooth TUYA 9W / 12W RGB+WW Elektro Pintar","Rp42.900","Rp38.999","80+ terjual","VIOLET FISH SHOP","Power Shop"
"TERALUX RGB LED Controller Wi-Fi Smart life Apps Tuya Remote IR Support Voice Control","Rp290.000","Rp290.000","N/A","Teralux Official Store","N/A"
"TUYA Lampu Bohlam LED RGBCW Smart Life Bulb Bluetooth E27 9W - RGBCW","Rp79.999","Rp79.999","40+ terjual","insideflow id","Power Shop"
"SMART Lampu Plafon Atap LED RGB with Tuya APP WiFi Bluetooth Ceiling Light Set 24W smart lamp Putih / Hitam","Rp229.000","Rp229.000","2 terjual","Kawan Lama 88","Power Shop"
"Tuya Smart Zigbee GU10 Spotlight Light Bulb RGBCW Dimmable Lamp 5W","Rp1.674.500","Rp1.674.500","N/A","kiroplow","N/A"
"Smart Standing Lamp RGBIC Lampu Sudut Estetik Tuya App Gaming Streamer","Rp430.000","Rp430.000","6 terjual","Smart Home Industry","N/A"
